text,label
Skip to main content,0
.us,0
Deliver to Sri LankaAll,0
Select the department you want to search in,0
Search Amazon,0
EN,0
"Hello, sign in",0
Account & Lists Returns & Orders,0
0,0
CartSign in,0
New customer? Start here.,0
Your Lists,0
Create a List Find a List or Registry,0
Your Account,0
Account Orders Recommendations Browsing History Watchlist Video Purchases &,0
Rentals Kindle Unlimited Content & Devices Subscribe & Save Items Memberships &,0
Subscriptions Music LibraryAllINTERNATIONAL SHOPPING TRANSITION ALERT,0
We're showing you items that ship to Sri Lanka. To see items that ship to a,0
"different country, change your delivery address.",0
Dismiss Change Address,0
Today's Deals Customer Service Registry Gift Cards Sell Disability Customer,0
Support,0
"1-16 OF OVER 100,000 RESULTS FOR ""PHONES""",0
SORT BY: SORT BY:FEATURED GOResults,0
Check each product page for other buying options.,0
"SAMSUNG GALAXY A15 5G A SERIES CELL PHONE, 128GB UNLOCKED ANDROID SMARTPHONE,",1
"AMOLED DISPLAY, EXPANDABLE STORAGE, KNOX SECURITY, SUPER FAST CHARGING, US",1
"VERSION, 2024, LIGHT BLUE3.9 out of 5 stars",1
305,1
100+ bought in past month,1
"$199.99$199.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
1 sustainability featureSustainability features,1
This product has sustainability features recognized by trusted certifications.,1
Energy efficiency,1
Conserves energy compared to similar products.,1
As certified by,1
EPEAT,1
Learn more about EPEATEPEAT--------------------------------------------------------------------------------EPEAT addresses the sustainability impacts of electronic products. An EPEAT,1
registered product must meet required criteria and can meet optional criteria.,1
"The criteria depend on the type of product and can include energy efficiency,",1
"reduction of fluorinated greenhouse gases (F-Gases), and end of life management.",1
Products meeting 50% - 75% optional criteria are “Silver” and those meeting more,1
than 75% are “Gold”.--------------------------------------------------------------------------------Certification Level,1
GOLD,1
Part of,1
Climate Pledge Friendly,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$153.25(17 used & new offers),1
Overall Pick,1
Amazon's Choice: Overall Pick,1
"This product is highly rated, well-priced, and available to ship immediately.",1
"SAMSUNG GALAXY A15 (SM-155M/DSN), 128GB 6GB RAM, DUAL SIM, FACTORY UNLOCKED GSM,",1
INTERNATIONAL VERSION (WALL CHARGER BUNDLE) (LIGHT BLUE)4.6 out of 5 stars,1
96,1
4K+ bought in past month,1
$138.00$138.00,1
"Typical: $151.86$151.86Delivery Wed, May 22",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
"$137.90(12 used & new offers)SAMSUNG,GALAXY A04E (SM-A042M/DS) DUAL SIM 32GB,6.5'' GSM UNLOCKED,INTERNATIONAL",1
VERSION-BLACK3.7 out of 5 stars,1
258,1
2K+ bought in past month,1
$81.89$81.89,1
"List: $105.00$105.00Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$81.07(16 used & new offers)Trending now,1
Sponsored,1
