text,label
Skip to main content,0
.us,0
Deliver to Sri LankaAll,0
Select the department you want to search in,0
Search Amazon,0
EN,0
"Hello, sign in",0
Account & Lists Returns & Orders,0
0,0
CartSign in,0
New customer? Start here.,0
Your Lists,0
Create a List Find a List or Registry,0
Your Account,0
Account Orders Recommendations Browsing History Watchlist Video Purchases &,0
Rentals Kindle Unlimited Content & Devices Subscribe & Save Items Memberships &,0
Subscriptions Music LibrarySign in,0
New customer? Start here.,0
AllINTERNATIONAL SHOPPING TRANSITION ALERT,0
We're showing you items that ship to Sri Lanka. To see items that ship to a,0
"different country, change your delivery address.",0
Dismiss Change Address,0
Today's Deals Customer Service Registry Gift Cards Sell Disability Customer,0
Support,0
"1-16 OF OVER 7,000 RESULTS FOR ""LAPTOPS""",0
SORT BY: SORT BY:FEATURED GO,0
RESULTSCheck each product page for other buying options.,0
"ACER ASPIRE 3 A315-24P-R7VH SLIM LAPTOP | 15.6"" FULL HD IPS DISPLAY | AMD RYZEN",1
3 7320U QUAD-CORE PROCESSOR | AMD RADEON GRAPHICS | 8GB LPDDR5 | 128GB NVME SSD,1
| WI-FI 6 | WINDOWS 11 HOME IN S MODEOptions:,1
3 capacities3 capacities,1
"4.4 out of 5 stars38,655",1
4K+ bought in past month,1
$299.99$299.99,1
List: $321.99$321.99Amazon Music offer with this purchase,1
"Delivery Mon, Jul 22",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
"$269.99(25 used & new offers)HP NEWEST 14"" ULTRAL LIGHT LAPTOP FOR STUDENTS AND BUSINESS, INTEL QUAD-CORE",1
"N4120, 8GB RAM, 192GB STORAGE(64GB EMMC+128GB MICRO SD), 1 YEAR OFFICE 365,",1
"WEBCAM, HDMI, WIFI, USB-A&C, WIN 11 S4.1 out of 5 stars1,457",1
3K+ bought in past month,1
"$249.99$249.99Delivery Mon, Jul 22",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
Overall Pick,1
Amazon's Choice: Overall Pick,1
Products highlighted as 'Overall Pick' are: * Rated 4+ stars,1
 * Purchased often,1
 * Returned infrequently,1
"HP 17 BUSINESS LAPTOP, 17.3” HD+ DISPLAY, 11TH GEN INTEL CORE I3-1125G4",1
"PROCESSOR, 32GB RAM, 1TB SSD, WI-FI, HDMI, WEBCAM, WINDOWS 11 PRO, SILVEROptions:",1
7 capacities7 capacities,1
4.3 out of 5 stars874,1
2K+ bought in past month,1
$492.88$492.88$70.60 delivery,1
Ships to Sri Lanka,1
Only 4 left in stock - order soon.,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
"$442.96(35 used & new offers)HP 14 LAPTOP, INTEL CELERON N4020, 4 GB RAM, 64 GB STORAGE, 14-INCH MICRO-EDGE",1
"HD DISPLAY, WINDOWS 11 HOME, THIN & PORTABLE, 4K GRAPHICS, ONE YEAR OF MICROSOFT",1
